period,value
1371,735.975948566
1372,717.702211948
1373,699.181287785
1374,681.812225787
1375,676.441820655
1376,667.046561165
1377,649.0845527
1378,659.052976608
1379,647.716894676
1380,626.754253464
1381,603.994734906
1382,615.53176815
1383,575.403666418
1384,586.854037635
1385,569.536884933
1386,558.646090627
1387,534.914760789
1388,524.390261723
1389,542.163989249
1390,520.82379501
1391,502.57490362
1392,502.963818209
1393,478.309311399
1394,473.124595224
1395,459.041103078
1396,480.014077711
1397,458.446002224
1398,458.156401362
1399,452.765853528
1400,435.485651414
1401,432.333879868
1402,413.711980042
1403,419.951683036
1404,382.798166102
1405,404.048158268
1406,373.558550199
1407,375.213571907
1408,384.125071909
1409,347.954447642
1410,348.442585247
1411,357.920200874
1412,321.365535399
1413,315.583907294
1414,330.066207227
1415,342.170006902
1416,331.346389055
1417,307.063253167
1418,298.023861276
1419,307.244867361
1420,306.245100605
1421,286.064192656
1422,298.714309989
1423,277.063913797
1424,289.27046397
1425,272.778001942
1426,287.696504237
1427,260.211580983
1428,259.039824719
1429,244.84419246
1430,276.818762322
1431,271.874179621
1432,269.474416245
1433,262.879380827
1434,263.161994927
1435,257.232906972
1436,255.327848091
1437,254.528389422
1438,237.803373501
1439,268.504628894
1440,231.339193609
1441,264.341911618
1442,256.110049066
1443,260.041769486
1444,254.342707973
1445,262.360728803
1446,257.104386023
1447,257.406356653
1448,245.885156299
1449,264.02432215
1450,277.437537
1451,255.461572298
1452,261.706992762
1453,276.999151748
1454,265.761818068
1455,258.445769127
1456,266.494688994
1457,277.34347811
1458,269.322311933
1459,276.99298814
1460,288.338270441
1461,301.981042167
1462,297.543101589
1463,295.620127693
1464,314.131871857
1465,320.998184688
1466,336.384118931
1467,347.437605975
1468,339.364718906
1469,332.345374797
1470,366.844070937
1471,348.799459109
1472,353.970944534
1473,392.917320625
1474,371.073913678
1475,408.790003178
1476,416.095738721
1477,408.938950446
1478,393.278988657
1479,408.139189593
1480,430.560376055
1481,451.723042297
1482,439.697269212
1483,447.700573792
1484,456.534604377
1485,486.923042346
1486,476.760715338
1487,501.760200193
1488,514.817861645
1489,529.453204572
1490,538.135492515
1491,526.887308862
1492,531.905379668
1493,560.320060383
1494,559.114581527
1495,550.869813049
1496,562.181231872
1497,571.677902731
1498,609.825768179
1499,592.606457292
1500,604.02795761
1501,629.123051624
1502,653.732331806
1503,649.57008062
1504,669.336069546
1505,656.455451303
1506,691.845307818
1507,683.799565591
1508,703.719096557
1509,722.66747318
1510,746.428055382
1511,747.656637861
1512,746.710229359
1513,774.547810125
1514,759.139270478
1515,801.193227874
1516,800.633140101
1517,812.815720851
1518,826.780231331
1519,807.20168118
1520,832.448349939
1521,856.156422901
1522,855.734382688
1523,860.289999439
1524,880.756118406
1525,886.335863298
1526,902.923027175
1527,915.973389018
1528,938.602946959
1529,933.188478437
1530,957.688593072
1531,960.944261784
1532,956.301304757
1533,963.108493674
1534,969.544751272
1535,982.062953812
1536,988.54702258
1537,992.992984801
1538,1002.06698359
1539,1020.86766973
1540,1040.84406733
1541,1058.45152005
1542,1045.9518488
1543,1061.24535747
1544,1075.6202952
1545,1091.83635204
1546,1069.2821625
1547,1099.92220099
1548,1102.42416192
1549,1105.18010823
1550,1134.70835401
1551,1140.80102607
1552,1138.43168796
1553,1143.59347848
1554,1164.28906538
1555,1135.39300028
1556,1168.75059983
1557,1185.32244447
1558,1180.86548774
1559,1158.4242741
1560,1197.95567616
1561,1178.54605143
1562,1192.35486454
1563,1204.88793856
1564,1190.47193578
1565,1201.25481505
1566,1231.48853532
1567,1206.77012364
1568,1216.21407453
1569,1221.9823809
1570,1233.69856976
1571,1225.98508246
1572,1245.37149147
1573,1247.51014412
1574,1235.64613231
1575,1220.92857267
1576,1231.26117925
1577,1234.7161747
1578,1259.08916109
1579,1230.15457534
1580,1235.33008134
1581,1237.35137817
1582,1255.57362013
1583,1230.44903395
1584,1248.99510093
1585,1245.00664136
1586,1262.33849658
1587,1243.60722208
1588,1259.18245516
1589,1242.23858724
1590,1226.30263859
1591,1259.62180755
1592,1254.99393778
1593,1229.70098686
1594,1230.76029166
1595,1250.25091877
1596,1239.37195235
1597,1226.01973818
1598,1236.10974124
1599,1225.73462865
1600,1200.86760881
1601,1205.09173956
1602,1220.24954358
1603,1194.23711614
1604,1202.21890798
